,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
0,902967845,20100203,201002,2010,2010.0904,scoLEG,SCOTTISH,,,sco,,,LEG,,,GBR,SCOTLAND,GBR,,,,,,,,0,20,20,2,1,3.0,228,57,228,-0.532005784878999,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"Edinburgh, Edinburgh, City of, United Kingdom",UK,UKU8,55.95,-3.2,-2595386,4,"Edinburgh, Edinburgh, City of, United Kingdom",UK,UKU8,55.95,-3.2,-2595386,20200201,https://www.wcbe.org/post/long-uneasy-wait-over-parties-protests-and-solemn-silence-greet-brexit
1,902967846,20100203,201002,2010,2010.0904,scoLEG,SCOTTISH,,,sco,,,LEG,,,GBR,SCOTLAND,GBR,,,,,,,,0,20,20,2,1,3.0,342,57,342,-0.532005784878999,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,20200201,https://www.wcbe.org/post/long-uneasy-wait-over-parties-protests-and-solemn-silence-greet-brexit
2,902967847,20100203,201002,2010,2010.0904,scoLEG,SCOTTISH,,,sco,,,LEG,,,GBR,UNITED KINGDOM,GBR,,,,,,,,0,120,120,12,3,-4.0,226,57,226,-0.532005784878999,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"Edinburgh, Edinburgh, City of, United Kingdom",UK,UKU8,55.95,-3.2,-2595386,4,"Edinburgh, Edinburgh, City of, United Kingdom",UK,UKU8,55.95,-3.2,-2595386,20200201,https://www.wcbe.org/post/long-uneasy-wait-over-parties-protests-and-solemn-silence-greet-brexit
3,902967848,20100203,201002,2010,2010.0904,scoLEG,SCOTTISH,,,sco,,,LEG,,,GBR,SCOTLAND,GBR,,,,,,,,0,120,120,12,3,-4.0,342,57,342,-0.532005784878999,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,20200201,https://www.wcbe.org/post/long-uneasy-wait-over-parties-protests-and-solemn-silence-greet-brexit
4,902967849,20190201,201902,2019,2019.0849,,,,,,,,,,,LEG,CONGRESS,,,,,,LEG,,,0,190,190,19,4,-10.0,30,3,30,-5.010893246187369,0,,,,,,,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,3,"Washington, District of Columbia, United States",US,USDC,38.8951,-77.0364,531871,20200201,https://www.ourmidland.com/business/technology/article/FCC-At-least-1-phone-company-broke-law-by-15020903.php
5,902967850,20190201,201902,2019,2019.0849,,,,,,,,,,,LEG,CONGRESS,,,,,,LEG,,,1,190,190,19,4,-10.0,144,13,144,-5.33003572776686,0,,,,,,,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20200201,https://www.news4jax.com/news/politics/2020/01/31/fcc-at-least-1-phone-company-broke-law-by-sharing-location/
6,902967851,20190201,201902,2019,2019.0849,,,,,,,,,,,PHL,PHILIPPINE,PHL,,,,,,,,1,42,42,4,1,1.9,4,1,4,1.1940298507462699,0,,,,,,,4,"Vigan, Eastern Samar, Philippines",RP,RP23,11.2817,125.54899999999999,-2459764,5,"Ilocos Sur, Ilocos Sur, Philippines",RP,RP29,17.2613,120.53399999999999,-2428429,20200201,https://www.venezuelastar.com/news/263884458/visitor-arrival-at-national-museum-in-the-ilocos-up-by-12-in-2019
7,902967852,20190201,201902,2019,2019.0849,CAN,CANADA,CAN,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,15,15,1,1,0.0,6,3,6,-11.052631578947402,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,20200201,https://www.richmond-news.com/news/richmond-people-smuggler-jailed-1.24066271
8,902967853,20190201,201902,2019,2019.0849,CAN,CANADA,CAN,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,15,15,1,1,0.0,6,3,6,-11.052631578947402,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,1,China,CH,CH,35.0,105.0,CH,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,20200201,https://www.richmond-news.com/news/richmond-people-smuggler-jailed-1.24066271
9,902967854,20190201,201902,2019,2019.0849,CHE,SWITZERLAND,CHE,,,,,,,,,,,,,,,,,,0,172,172,17,4,-5.0,8,1,8,-4.1338582677165405,1,Switzerland,SZ,SZ,47.0,8.0,SZ,0,,,,,,,1,Switzerland,SZ,SZ,47.0,8.0,SZ,20200201,https://www.zmescience.com/science/agriculture-science/france-bans-shredding-chicks-31012020/
10,902967855,20190201,201902,2019,2019.0849,CHNCVL,CHINESE,CHN,,,,,CVL,,,CAN,CANADA,CAN,,,,,,,,1,15,15,1,1,0.0,18,3,18,-11.052631578947402,1,China,CH,CH,35.0,105.0,CH,4,"Toronto, Ontario, Canada",CA,CA08,43.6667,-79.4167,-574890,1,China,CH,CH,35.0,105.0,CH,20200201,https://www.richmond-news.com/news/richmond-people-smuggler-jailed-1.24066271
11,902967856,20190201,201902,2019,2019.0849,GBR,LONDON,GBR,,,,,,,,,,,,,,,,,,0,110,110,11,3,-2.0,10,1,10,-4.17754569190601,0,,,,,,,0,,,,,,,0,,,,,,,20200201,https://sfist.com/2020/01/31/sf-man-gets-stabbed-after-parking-car-in-excelsior-gets-parking-ticket-while-hospitalized/
