date,latitude,longitude,themes,tone
2020-01-01,43.0855,129.30200000000002,"['BAN', 'MEDIA_MSM', 'WB_1921_PRIVATE_SECTOR_DEVELOPMENT', 'WB_769_INVESTMENT_POLICY', 'WB_694_BROADCAST_AND_MEDIA', 'WB_655_INFORMATION_MANAGEMENT', 'WB_653_ENTERPRISE_ARCHITECTURE', 'WB_2375_ICT_METHODS_AND_PROCEDURES', 'WB_1150_VOLATILITY', 'WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'AGRICULTURE', 'WB_2937_SILVER', 'WB_1973_FINANCIAL_RISK_REDUCTION', 'WB_1973_FINANCIAL_RISK_REDUCTION', 'WB_1973_FINANCIAL_RISK_REDUCTION', 'WB_435_AGRICULTURE_AND_FOOD_SECURITY', 'WB_435_AGRICULTURE_AND_FOOD_SECURITY', 'WB_435_AGRICULTURE_AND_FOOD_SECURITY', 'WB_337_INSURANCE', 'WB_337_INSURANCE', 'WB_337_INSURANCE', 'WB_1967_AGRICULTURAL_RISK_AND_SECURITY', 'WB_1967_AGRICULTURAL_RISK_AND_SECURITY', 'WB_1967_AGRICULTURAL_RISK_AND_SECURITY', 'SHORTAGE', 'CRISISLEX_C03_WELLBEING_HEALTH', 'CRISISLEX_O01_WEATHER', 'USPEC_POLICY', 'USPEC_POLICY', 'USPEC_POLICY', 'USPEC_POLICY', 'USPEC_POLICY', 'USPEC_POLICY', 'EPU_POLICY_POLICY', 'EPU_POLICY_POLICY', 'EPU_POLICY_POLICY', 'EPU_POLICY_POLICY', 'EPU_POLICY_POLICY', 'EPU_POLICY_POLICY', 'UNGP_FORESTS_RIVERS_OCEANS', 'UNGP_FORESTS_RIVERS_OCEANS', 'UNGP_FORESTS_RIVERS_OCEANS', 'EPU_CATS_MONETARY_POLICY', 'ECON_HOUSING_PRICES', 'ECON_HOUSING_PRICES', 'ECON_HOUSING_PRICES', 'ECON_STOCKMARKET', 'ECON_STOCKMARKET', 'ECON_STOCKMARKET', 'ECON_ENTREPRENEURSHIP', 'TAX_FNCACT_REPRESENTATIVE', 'TAX_FNCACT_REPRESENTATIVE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'WB_2936_GOLD', 'WB_2936_GOLD', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_895_MINING_SYSTEMS', 'WB_895_MINING_SYSTEMS', 'WB_1699_METAL_ORE_MINING', 'WB_1699_METAL_ORE_MINING', 'WB_678_DIGITAL_GOVERNMENT', 'WB_2943_SWITCHES', 'WB_667_ICT_INFRASTRUCTURE', 'WB_672_NETWORK_MANAGEMENT', 'WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES', 'WB_135_TRANSPORT', 'WB_1174_WAREHOUSING_AND_STORAGE', 'WB_793_TRANSPORT_AND_LOGISTICS_SERVICES', 'EPU_POLICY_REFORM', 'EPU_POLICY_REFORM', 'WB_1070_ECONOMIC_GROWTH_POLICY', 'WB_471_ECONOMIC_GROWTH', 'WB_1075_INDUSTRY_POLICY', 'TAX_ETHNICITY_CHINESE', 'TAX_WORLDLANGUAGES_CHINESE', '']",2.2792022792022797
2020-01-01,35.0,105.0,"['TAX_FNCACT_EXECUTIVE_DIRECTOR', 'WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES', 'WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES', 'WB_1777_FORESTS', 'WB_1777_FORESTS', 'WB_590_ECOSYSTEMS', 'WB_590_ECOSYSTEMS', 'TAX_FNCACT_DIRECTOR', 'MEDIA_MSM', 'TAX_FNCACT_EXECUTIVE', 'CRISISLEX_C03_WELLBEING_HEALTH', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'WB_2937_SILVER', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_895_MINING_SYSTEMS', 'WB_1699_METAL_ORE_MINING', 'SHORTAGE', 'SHORTAGE', 'TAX_ECON_PRICE', 'TAX_ECON_PRICE', 'CRISISLEX_C07_SAFETY', 'KIDNAP', 'KIDNAP', 'ECON_HOUSING_PRICES', 'ECON_HOUSING_PRICES', 'ECON_HOUSING_PRICES', 'WB_135_TRANSPORT', 'WB_135_TRANSPORT', 'ECON_STOCKMARKET', 'ECON_STOCKMARKET', 'ECON_INTEREST_RATES', 'ECON_INTEREST_RATES', 'ECON_INTEREST_RATES', 'EPU_POLICY_INTEREST_RATES', 'EPU_POLICY_INTEREST_RATES', 'EPU_POLICY_INTEREST_RATES', 'EPU_CATS_MONETARY_POLICY', 'EPU_CATS_MONETARY_POLICY', 'EPU_CATS_MONETARY_POLICY', 'TAX_FNCACT_USHER', 'USPEC_POLICY', 'USPEC_POLICY', 'EPU_ECONOMY', 'EPU_ECONOMY', 'GENERAL_HEALTH', 'GENERAL_HEALTH', 'MEDICAL', 'MEDICAL', 'WB_1331_HEALTH_TECHNOLOGIES', 'WB_1331_HEALTH_TECHNOLOGIES', 'WB_1350_PHARMACEUTICALS', 'WB_1350_PHARMACEUTICALS', 'WB_621_HEALTH_NUTRITION_AND_POPULATION', 'WB_621_HEALTH_NUTRITION_AND_POPULATION', 'EPU_CATS_HEALTHCARE', 'UNGP_FORESTS_RIVERS_OCEANS', 'UNGP_FORESTS_RIVERS_OCEANS', 'UNGP_FORESTS_RIVERS_OCEANS', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'TAX_ETHNICITY_CHINESE', 'TAX_WORLDLANGUAGES_CHINESE', '']",0.33557046979865807
2020-01-01,21.0333,105.85,"['TAX_FNCACT_CHILD', 'TAX_FNCACT_CHILD', 'TAX_FNCACT_CHILD', 'TAX_FNCACT_CHILD', 'TAX_FNCACT_CHILD', 'TAX_FNCACT_CHILD', 'LEADER', 'LEADER', 'TAX_FNCACT_PRIME_MINISTER', 'TAX_FNCACT_PRIME_MINISTER', 'SHORTAGE', 'TAX_FOODSTAPLES_RICE', 'TAX_FOODSTAPLES_RICE', 'MEDICAL', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'TAX_FOODSTAPLES_MEAT', 'WOUND', 'WOUND', 'WOUND', 'WOUND', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_C03_WELLBEING_HEALTH', 'CRISISLEX_C03_WELLBEING_HEALTH', 'CRISISLEX_C03_WELLBEING_HEALTH', 'CRISISLEX_C03_WELLBEING_HEALTH', 'CRISISLEX_T02_INJURED', 'CRISISLEX_T02_INJURED', 'CRISISLEX_T02_INJURED', 'CRISISLEX_T02_INJURED', 'TAX_ECON_PRICE', 'TAX_ECON_PRICE', 'TAX_ECON_PRICE', 'TAX_FNCACT_AUTHOR', 'DRUG_TRADE', 'DRUG_TRADE', 'WB_1331_HEALTH_TECHNOLOGIES', 'WB_1331_HEALTH_TECHNOLOGIES', 'WB_2453_ORGANIZED_CRIME', 'WB_2453_ORGANIZED_CRIME', 'WB_1350_PHARMACEUTICALS', 'WB_1350_PHARMACEUTICALS', 'WB_2433_CONFLICT_AND_VIOLENCE', 'WB_2433_CONFLICT_AND_VIOLENCE', 'WB_621_HEALTH_NUTRITION_AND_POPULATION', 'WB_621_HEALTH_NUTRITION_AND_POPULATION', 'WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE', 'WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE', 'WB_2456_DRUGS_AND_NARCOTICS', 'WB_2456_DRUGS_AND_NARCOTICS', 'POVERTY', 'WB_695_POVERTY', 'TAX_MILITARY_TITLE_OFFICERS', 'TAX_MILITARY_TITLE_OFFICERS', 'TAX_FNCACT_OFFICERS', 'TAX_FNCACT_OFFICERS', 'AGRICULTURE', 'TAX_FOODSTAPLES_MAIZE', 'GENERAL_GOVERNMENT', 'EPU_POLICY_GOVERNMENT', 'TRIAL', 'IDEOLOGY', 'EPU_CATS_MIGRATION_FEAR_FEAR', 'EPU_CATS_MIGRATION_FEAR_FEAR', 'EPU_CATS_MIGRATION_FEAR_FEAR', 'EPU_CATS_MIGRATION_FEAR_FEAR', 'TAX_WORLDMAMMALS_HUMAN', 'WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION', 'WB_1462_WATER_SANITATION_AND_HYGIENE', 'WB_635_PUBLIC_HEALTH', 'TAX_DISEASE_WEIGHT_GAIN', 'TAX_DISEASE_WEIGHT_GAIN', 'MANMADE_DISASTER_IMPLIED', 'MANMADE_DISASTER_IMPLIED', 'TAX_FNCACT_EMPLOYEES', 'TAX_FNCACT_MINISTER', 'TAX_FNCACT_MINISTER', 'MEDIA_MSM', 'TAX_FNCACT_JOURNALIST', 'ECON_SUBSIDIES', 'ECON_SUBSIDIES', 'ECON_SUBSIDIES', 'KILL', 'URBAN', 'WB_698_TRADE', 'WB_137_WATER', 'TAX_FNCACT_WORKERS', 'TAX_WORLDMAMMALS_HUMANS', '']",-4.919786096256691
2020-01-01,43.1346,-6.8944399999999995,"['RURAL', 'EPU_ECONOMY_HISTORIC', 'AGRICULTURE', 'GENERAL_HEALTH', 'MEDICAL', 'SOC_POINTSOFINTEREST_HOSPITAL', 'CRISISLEX_C03_WELLBEING_HEALTH', 'SHORTAGE', 'TOURISM', 'WB_825_TOURISM', 'WB_1921_PRIVATE_SECTOR_DEVELOPMENT', 'WB_346_COMPETITIVE_INDUSTRIES', 'WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS', 'USPEC_POLICY', 'USPEC_POLICY', 'EPU_POLICY_POLICY', 'EPU_POLICY_POLICY', 'TAX_FNCACT_AUTHORITIES', 'TAX_FNCACT_AUTHORITIES', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_CRISISLEXREC', 'EPU_POLICY_AUTHORITIES', 'EPU_POLICY_AUTHORITIES', 'USPEC_UNCERTAINTY', 'TAX_FNCACT_CITIZENS', 'GOV_LOCALGOV', 'EPU_CATS_MIGRATION_FEAR_MIGRATION', 'LEADER', 'TAX_FNCACT_MAYORS', 'UNGP_FORESTS_RIVERS_OCEANS', 'WB_435_AGRICULTURE_AND_FOOD_SECURITY', 'WB_177_ANIMAL_PRODUCTION', 'WB_1949_CLIMATE_SMART_AGRICULTURE', 'TAX_ETHNICITY_GALICIAN', 'TAX_ETHNICITY_GALICIAN', 'TAX_WORLDLANGUAGES_GALICIAN', 'TAX_WORLDLANGUAGES_GALICIAN', 'TAX_FNCACT_MAYOR', 'TAX_FNCACT_MAYOR', '']",-1.8731988472622498
2020-01-01,-24.3167,-47.0,"['MOVEMENT_GENERAL', 'CRISISLEX_T04_INFRASTRUCTURE', 'TAX_FNCACT_FATHER', 'TAX_DISEASE_EMERGENCIES', 'WATER_SECURITY', 'SHORTAGE', 'TAX_FNCACT_NAVIGATORS', 'MOVEMENT_SOCIAL', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'WB_137_WATER', 'TAX_FNCACT_HOUSEMAID', 'WB_1199_WATER_SUPPLY_AND_SANITATION', 'WB_1199_WATER_SUPPLY_AND_SANITATION', 'WB_138_WATER_SUPPLY', 'WB_138_WATER_SUPPLY', 'TAX_MILITARY_TITLE_OFFICER', 'TAX_FNCACT_OFFICER', 'TAX_FNCACT_CHILDREN', 'TAX_WORLDREPTILES_SNAKE', 'TOURISM', 'TOURISM', 'TOURISM', 'TAX_FNCACT_TOURISTS', 'TAX_FNCACT_TOURISTS', 'TAX_FNCACT_TOURISTS', '']",-4.44964871194379
2020-01-01,60.0,100.0,"['TAX_POLITICAL_PARTY_REPUBLICANS', 'TAX_POLITICAL_PARTY_DEMOCRATIC_PARTY', 'ECON_TAXATION', 'EPU_POLICY_TAX', 'TAX_FOODSTAPLES_RICE', 'SHORTAGE', 'ELECTION', 'ELECTION', 'GENERAL_GOVERNMENT', 'GENERAL_GOVERNMENT', 'GENERAL_GOVERNMENT', 'EPU_POLICY_CONGRESS', 'EPU_POLICY_CONGRESS', 'EPU_POLICY_CONGRESS', 'JIHAD', 'TERROR', 'ARMEDCONFLICT', 'TAX_FNCACT_SENATOR', 'TAX_ETHNICITY_AMERICAN', 'TAX_FNCACT_SUPPORTERS', 'TAX_FNCACT_SUPPORTERS', 'TAX_FNCACT_JUDGES', 'TAX_FNCACT_TROOPS', 'TAX_RELIGION_ISLAMIC', 'TAX_RELIGION_ISLAMIC', 'IMPEACHMENT', 'IMPEACHMENT', 'IMPEACHMENT', 'TAX_FNCACT_LEADER', 'TAX_FNCACT_LEADER', 'TAX_FNCACT_HISTORIAN', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'LEADER', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'TAX_FNCACT_PRESIDENT', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'USPEC_POLITICS_GENERAL', 'DRONES', 'TAX_WORLDMAMMALS_DOG', 'ECON_FREETRADE', 'TRIAL', 'TAX_FNCACT_PROSECUTOR', 'CRISISLEX_C07_SAFETY', 'EPU_POLICY_GOVERNMENT', 'MANMADE_DISASTER_IMPLIED', 'IMMIGRATION', 'WB_2670_JOBS', 'WB_2769_JOBS_STRATEGIES', 'WB_2837_IMMIGRATION', 'WB_2836_MIGRATION_POLICIES_AND_JOBS', 'EPU_CATS_MIGRATION_FEAR_MIGRATION', 'EDUCATION', 'TAX_FNCACT_PROFESSOR', 'EPU_POLICY_POLITICAL', 'EPU_POLICY_POLITICAL', 'EPU_POLICY_POLITICAL', 'EPU_POLICY_POLITICAL', 'WB_696_PUBLIC_SECTOR_MANAGEMENT', 'WB_840_JUSTICE', 'TAX_FNCACT_EXECUTIVE', 'TAX_FNCACT_EXECUTIVE', 'WB_2024_ANTI_CORRUPTION_AUTHORITIES', 'WB_2025_INVESTIGATION', 'WB_831_GOVERNANCE', 'WB_832_ANTI_CORRUPTION', 'WB_1014_CRIMINAL_JUSTICE', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_CRISISLEXREC', 'TAX_WORLDLANGUAGES_RUSSIA', 'NEGOTIATIONS', 'WB_2473_DIPLOMACY_AND_NEGOTIATIONS', 'WB_939_NEGOTIATION', 'WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT', 'WB_936_ALTERNATIVE_DISPUTE_RESOLUTION', 'WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE', 'WB_843_DISPUTE_RESOLUTION', 'WB_2471_PEACEKEEPING', 'TAX_FNCACT_AUTHORITIES', 'EPU_POLICY_AUTHORITIES', 'EPU_POLICY_POLICY', 'EPU_POLICY_POLICY', 'EPU_POLICY_POLICY', 'EPU_POLICY_POLICY', 'TAX_POLITICAL_PARTY_DEMOCRATS', 'TAX_POLITICAL_PARTY_DEMOCRATS', 'TAX_POLITICAL_PARTY_DEMOCRATS', 'TAX_POLITICAL_PARTY_DEMOCRATS', 'TAX_POLITICAL_PARTY_DEMOCRATS', 'TAX_POLITICAL_PARTY_DEMOCRATS', 'TAX_POLITICAL_PARTY_DEMOCRATS', 'TAX_POLITICAL_PARTY_DEMOCRATS', 'TAX_FNCACT_EMPLOYEES', 'CRISISLEX_T11_UPDATESSYMPATHY', 'CRISISLEX_T11_UPDATESSYMPATHY', 'TAX_FNCACT_SPOKESMAN', 'GENERAL_HEALTH', 'MEDICAL', 'EPU_CATS_TAXES', 'ECON_STOCKMARKET', 'USPEC_POLICY', 'USPEC_POLICY', 'USPEC_POLICY', 'EPU_ECONOMY', 'EPU_ECONOMY', 'EPU_ECONOMY', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'USPEC_UNCERTAINTY', 'SOC_POINTSOFINTEREST_UNIVERSITY', 'TAX_POLITICAL_PARTY_REPUBLICAN', 'DELAY', 'DELAY', 'WB_698_TRADE', 'EPU_CATS_MIGRATION_FEAR_FEAR', 'WB_137_WATER', 'UNGP_FORESTS_RIVERS_OCEANS', '']",-0.987166831194472
2020-01-01,35.0,105.0,"['GENERAL_GOVERNMENT', 'EPU_POLICY_GOVERNMENT', 'WB_2433_CONFLICT_AND_VIOLENCE', 'WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE', 'EPU_POLICY_POLITICAL', 'ECON_ENTREPRENEURSHIP', 'WB_678_DIGITAL_GOVERNMENT', 'WB_678_DIGITAL_GOVERNMENT', 'WB_678_DIGITAL_GOVERNMENT', 'WB_678_DIGITAL_GOVERNMENT', 'WB_678_DIGITAL_GOVERNMENT', 'WB_678_DIGITAL_GOVERNMENT', 'WB_678_DIGITAL_GOVERNMENT', 'WB_694_BROADCAST_AND_MEDIA', 'WB_694_BROADCAST_AND_MEDIA', 'WB_694_BROADCAST_AND_MEDIA', 'WB_694_BROADCAST_AND_MEDIA', 'WB_694_BROADCAST_AND_MEDIA', 'WB_694_BROADCAST_AND_MEDIA', 'WB_694_BROADCAST_AND_MEDIA', 'WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES', 'WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES', 'WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES', 'WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES', 'WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES', 'WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES', 'WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES', 'SHORTAGE', 'TAX_ECON_PRICE', 'USPEC_POLICY', 'EPU_POLICY_DEFICIT', 'TAX_FNCACT_CITIZEN', 'TAX_FNCACT_CITIZEN', 'TAX_FNCACT_CITIZEN', 'TAX_FNCACT_CITIZENS', 'TAX_FNCACT_CITIZENS', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_CRISISLEXREC', 'CRISISLEX_CRISISLEXREC', 'MEDIA_MSM', 'ECON_SUBSIDIES', 'EPU_ECONOMY_HISTORIC', 'NATURAL_DISASTER_EARTHQUAKE', 'NATURAL_DISASTER_EARTHQUAKE', 'CRISISLEX_T01_CAUTION_ADVICE', 'CRISISLEX_T01_CAUTION_ADVICE', 'MEDIA_SOCIAL', 'MEDIA_SOCIAL', 'PROTEST', 'STRIKE', 'TAX_FNCACT_VICTIMS', 'CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE', 'TAX_FNCACT_WRITER', 'INFO_RUMOR', 'CYBER_ATTACK', 'WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS', 'WB_286_TELECOMMUNICATIONS_AND_BROADBAND_ACCESS', 'WB_2120_SATELLITES', 'WB_2120_SATELLITES', 'WB_2329_ACCESS_AND_CONNECTIVITY', 'WB_2329_ACCESS_AND_CONNECTIVITY', 'SOC_EXPRESSREGRET', 'TAX_FNCACT_PHOTOGRAPHER', 'NATURAL_DISASTER_TIDAL_WAVE', 'NATURAL_DISASTER_TIDAL_WAVE', 'TAX_ETHNICITY_PORTUGUESE', 'TAX_WORLDLANGUAGES_PORTUGUESE', 'UNREST_BELLIGERENT', 'TAX_ETHNICITY_CHINESE', 'TAX_ETHNICITY_CHINESE', 'TAX_WORLDLANGUAGES_CHINESE', 'TAX_WORLDLANGUAGES_CHINESE', '']",-1.4297729184188401
2020-01-01,47.5,-72.0,"['WB_2433_CONFLICT_AND_VIOLENCE', 'WB_2465_REVOLUTIONARY_VIOLENCE', 'WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE', 'WB_2462_POLITICAL_VIOLENCE_AND_WAR', 'WB_1768_OIL_AND_GAS_PIPELINE', 'WB_1751_LIQUEFIED_NATURAL_GAS', 'WB_549_OIL_AND_GAS_SYSTEMS', 'ECON_PROPANE', 'ECON_PROPANE', 'ECON_PROPANE', 'ECON_PROPANE', 'ECON_PROPANE', 'ECON_PROPANE', 'ECON_PROPANE', 'ECON_PROPANE', 'ECON_PROPANE', 'USPEC_POLICY', 'ENV_OIL', 'ENV_OIL', 'ENV_OIL', 'ENV_OIL', 'ENV_OIL', 'ENV_OIL', 'SHORTAGE', 'WB_2298_REFINERIES', 'WB_2298_REFINERIES', 'AGRICULTURE', 'TAX_FNCACT_FARMERS', 'TAX_ETHNICITY_AMERICAN', 'EPU_ECONOMY_HISTORIC', 'ENV_NATURALGAS', 'ENV_NATURALGAS', 'ENV_NATURALGAS', 'ENV_NATURALGAS', 'ENV_NATURALGAS', 'ENV_NATURALGAS', 'MEDICAL', 'SOC_POINTSOFINTEREST_HOSPITALS', 'WB_2303_FRACKING', 'WB_2273_UPSTREAM_OIL_AND_GAS', 'WB_1160_SHOCKS_AND_VULNERABILITY', 'WB_695_POVERTY', 'TAX_ETHNICITY_CANADIAN', 'TAX_ETHNICITY_CANADIAN', 'TAX_DISEASE_CONVENTIONAL', 'TAX_WORLDMAMMALS_HUMANS', 'UNGP_FORESTS_RIVERS_OCEANS', 'WB_135_TRANSPORT', 'MANMADE_DISASTER_IMPLIED', 'MANMADE_DISASTER_IMPLIED', 'MANMADE_DISASTER_IMPLIED', 'MANMADE_DISASTER_IMPLIED', 'MANMADE_DISASTER_IMPLIED', 'MANMADE_DISASTER_IMPLIED', 'MANMADE_DISASTER_IMPLIED', 'MANMADE_DISASTER_IMPLIED', 'WB_2299_PIPELINES', 'WB_2299_PIPELINES', 'WB_2299_PIPELINES', 'WB_2299_PIPELINES', 'WB_2299_PIPELINES', 'WB_2299_PIPELINES', 'WB_2299_PIPELINES', 'WB_2299_PIPELINES', 'WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS', 'WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS', 'WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS', 'WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS', 'WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS', 'WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS', 'WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS', 'WB_539_OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_507_ENERGY_AND_EXTRACTIVES', 'WB_548_PPP_IN_OIL_AND_GAS', 'WB_548_PPP_IN_OIL_AND_GAS', 'WB_548_PPP_IN_OIL_AND_GAS', 'WB_548_PPP_IN_OIL_AND_GAS', 'WB_548_PPP_IN_OIL_AND_GAS', 'WB_548_PPP_IN_OIL_AND_GAS', 'WB_548_PPP_IN_OIL_AND_GAS', 'WB_548_PPP_IN_OIL_AND_GAS', '']",0.369685767097967
2020-01-01,42.833333,12.833333,"['TAX_ECON_PRICE', 'WB_1441_SUPPLEMENTS', 'WB_1441_SUPPLEMENTS', 'TAX_FOODSTAPLES_CEREALS', 'TAX_FOODSTAPLES_CEREALS', 'EPU_ECONOMY_HISTORIC', 'TAX_WORLDINSECTS_BEES', 'GENERAL_HEALTH', 'WB_644_NUTRITION', 'WB_621_HEALTH_NUTRITION_AND_POPULATION', 'SHORTAGE', 'UNGP_FORESTS_RIVERS_OCEANS', 'UNGP_FORESTS_RIVERS_OCEANS', 'WB_137_WATER', 'TAX_ETHNICITY_ITALIAN', 'TAX_ETHNICITY_ITALIAN', 'TAX_WORLDLANGUAGES_ITALIAN', 'TAX_WORLDLANGUAGES_ITALIAN', 'TAX_FOODSTAPLES_LEGUMES', 'TAX_FOODSTAPLES_LEGUMES', 'AFFECT', 'CRISISLEX_CRISISLEXREC', '']",5.08474576271187
2020-01-02,53.3331,-6.24889,"['SHORTAGE', 'SCIENCE', 'SCIENCE', 'SCIENCE', 'SOC_INNOVATION', 'SOC_INNOVATION', 'SOC_INNOVATION', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'EPU_ECONOMY_HISTORIC', 'TAX_ETHNICITY_IRISH', 'TAX_ETHNICITY_IRISH', 'TAX_WORLDLANGUAGES_IRISH', 'TAX_WORLDLANGUAGES_IRISH', 'TAX_ECON_PRICE', 'TAX_FNCACT_MINISTER', '']",0.3802281368821289
